SN.,size of cluster,cluster member,cluster ID,member nearer to centroid,first match count,second match count
0,25,"('able', 'trustworthy', 'problem', 'hard', 'honest', 'humility', 'morality', 'polite', 'decisiveness', 'peaceful', 'sure', 'capable', 'trustworthiness', 'political', 'equality', 'kindness', 'crucial', 'together', 'genuine', 'selfless', 'vast', 'ability', 'logical', 'willingness', 'confident')",3,decisiveness,"(7, (0, 'leadership', 17, 29))","(0, None)"
1,14,"('ulterior', 'strong', 'inclusivity', 'umm', 'underprivileged', 'stressful', 'levelheadedness', ""i'm"", 'level-headed', 'others', 'exceptionally', 'preferably', 'proud', 'politically')",4,inclusivity,"(4, (0, 'leadership', 17, 29))","(0, None)"
2,13,"('course', 'decisions', 'motives', 'ethic', 'leadership', 'relations', 'ideas', 'skills', 'systems', 'goals', 'teamwork', 'term', 'knowledge')",0,motives,"(4, (0, 'leadership', 17, 29))","(0, None)"
3,13,"('nice', 'friendly', 'u', 'wise', 'common', 'good', 'whole', 'diplomacy', 'sociology', 'international', 'progressive', 'idiot', 'basic')",1,diplomacy,"(4, (1, 'diplomacy', 18, 22))","(0, None)"
4,11,"('join', 'commitment', 'groups', 'time', 'people', 'experience', 'lot', 'constitution', 'character', 'leader', 'care')",5,constitution,"(3, (2, 'relate to diverse groups', 8, 17))","(1, (0, 'leadership', 17, 29))"
5,10,"('prejudice', 'president', 'deliberate', 'someone', 'intelligence', 'politics', 'country', 'honesty', 'county', 'mature')",9,mature,"(2, (0, 'leadership', 17, 29))","(0, None)"
6,9,"('different', 'sophisticated', 'well', 'smart', 'approachable', 'eloquent', 'long', 'sense', 'humble')",6,long,"(2, (0, 'leadership', 17, 29))","(0, None)"
7,6,"('passion', 'situations', 'bravery', 'unity', 'integrity', 'qualities')",8,unity,"(1, (0, 'leadership', 17, 29))","(0, None)"
8,5,"('prejudices', 'management', 'appeals', 'compromise', 'achievement')",2,compromise,"(2, (2, 'relate to diverse groups', 8, 17))","(1, (0, 'leadership', 17, 29))"
9,5,"('empathy', 'office', 'agreeable', 'calm', 'compassion')",10,calm,"(3, (1, 'diplomacy', 18, 22))","(1, (0, 'leadership', 17, 29))"
10,4,"('dedication', 'understanding', 'determination', 'promises')",7,promises,"(1, (3, 'political skills ', 9, 16))","(0, None)"
11,2,"('run', 'work')",12,run,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
12,1,"('negotiator',)",11,negotiator,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
