Sl.No,Year,RunMi,RunMx,BallMi,BallMx,4'sMi,4'sMx,6'sMi,6'sMx,Highest Run Scored Mi,Highest Run Scored Mx,Balls  Bowled Mi,Balls  Bowled Mx,Runs Conceded Mi,Runs Conceded Mx,WicketsMi,WicketsMx,Ct_StMi,Ct_StMx,Run Outs Mi,Run Outs Mx,Matches Played Mi,Matches Played Mx,Strike Rate1 Mi,Strike Rate1 Mx,Economy1Mi,Economy1Mx
1,2008,0,410,0,300,0,0,0,0,30,50,15,310,10,450,0,9,2,8,0,0,1,14,80,160,6,13
2,2009,0,390,0,300,0,0,0,0,30,50,5,300,4,400,0,15,2.5,10,0,0,1,16,90,150,5,10
3,2010,0,450,0,380,10,50,0,15,30,50,6,300,10,400,0,15,5,15,0,2.5,1,16,120,190,7,10
4,2011,0,480,0,400,20,55,5,20,30,50,12,300,10,400,4,15,8,20,0,2.5,1,16,130,200,7,12
5,2012,0,495,0,480,25,60,3,10,30,50,12,350,20,380,5,18,8,10,0,2,1,17,130,170,7.1,9
6,2013,0,540,0,450,28,65,10,20,20,100,12,405,10,490,7,11,10,20,0,2.5,1,18,130,180,7.5,10.5
7,2014,10,450,20,390,25,50,5,24,10,100,12,390,20,490,2,19,8,18,0,2.5,1,16,100,150,7,12
8,2015,20,480,30,330,15,40,5,12,10,110,12,330,10,410,7,22,8,16,0,3.1,1,17,125,180,7.8,11
9,2016,30,500,40,470,18,60,8,24,10,113,12,360,10,410,3,20,8,20,0,2.5,1,17,100,160,7.5,10
10,2017,10,500,10,400,25,40,10,26,10,105,18,340,20,430,3,18,10,17,0,3.5,1,17,130,160,7.5,12
11,2018,20,600,30,420,20,60,8,27,12,115,12,400,20,480,2,19,9,18.5,0,2.5,1,17,140,180,7.4,11.9
